X frequency: 1000000
2022-07-11 15:29:15.664369894 offset: 0.001344204 
2022-07-11 15:29:15.665696362 offset: 0.004244566 
2022-07-11 15:29:15.667326989 offset: 0.001326561 
2022-07-11 15:29:15.668573758 offset: 0.001630545 
2022-07-11 15:29:15.671602597 offset: 0.001246929 
2022-07-11 15:29:15.672782671 offset: 0.003028631 
2022-07-11 15:29:15.673971281 offset: 0.001180172 
2022-07-11 15:29:15.675147898 offset: 0.001188517 
2022-07-11 15:29:15.676332615 offset: 0.001176834 
2022-07-11 15:29:15.679698130 offset: 0.001184702 
2022-07-11 15:29:15.680868811 offset: 0.003365517 
2022-07-11 15:29:15.682148451 offset: 0.001170635 
2022-07-11 15:29:15.683363163 offset: 0.001279593 
2022-07-11 15:29:15.684496279 offset: 0.001214743 
2022-07-11 15:29:15.687430964 offset: 0.001132965 
2022-07-11 15:29:15.688590364 offset: 0.002934694 
2022-07-11 15:29:15.689747035 offset: 0.001159430 
2022-07-11 15:29:15.690878823 offset: 0.001156807 
2022-07-11 15:29:15.692078496 offset: 0.001131773 
2022-07-11 15:29:15.695288695 offset: 0.001199722 
2022-07-11 15:29:15.696472058 offset: 0.003210068 
2022-07-11 15:29:15.697621480 offset: 0.001183510 
2022-07-11 15:29:15.698773030 offset: 0.001149416 
2022-07-11 15:29:15.699964090 offset: 0.001151562 
2022-07-11 15:29:15.701120134 offset: 0.001190901 
2022-07-11 15:29:15.702263025 offset: 0.001156092 
2022-07-11 15:29:15.703405799 offset: 0.001142979 
2022-07-11 15:29:15.704543427 offset: 0.001142740 
2022-07-11 15:29:15.705717515 offset: 0.001137495 
2022-07-11 15:29:15.706914551 offset: 0.001174212 
2022-07-11 15:29:15.708092888 offset: 0.001197100 
2022-07-11 15:29:15.709288298 offset: 0.001178265 
2022-07-11 15:29:15.710601043 offset: 0.001195431 
2022-07-11 15:29:15.711895690 offset: 0.001312733 
2022-07-11 15:29:15.713225980 offset: 0.001294613 
2022-07-11 15:29:15.714432036 offset: 0.001330376 
2022-07-11 15:29:15.715537950 offset: 0.001205921 
2022-07-11 15:29:15.716908500 offset: 0.001106024 
2022-07-11 15:29:15.718220215 offset: 0.001370430 
2022-07-11 15:29:15.719536631 offset: 0.001311779 
2022-07-11 15:29:15.720866420 offset: 0.001316309 
2022-07-11 15:29:15.722033765 offset: 0.001329899 
2022-07-11 15:29:15.723370944 offset: 0.001167297 
2022-07-11 15:29:15.724962149 offset: 0.001337290 
2022-07-11 15:29:15.726151598 offset: 0.001591206 
2022-07-11 15:29:15.727340397 offset: 0.001189470 
2022-07-11 15:29:15.728508644 offset: 0.001188755 
2022-07-11 15:29:15.729830458 offset: 0.001168251 
2022-07-11 15:29:15.731141223 offset: 0.001321793 
2022-07-11 15:29:15.732458974 offset: 0.001310825 
2022-07-11 15:29:15.733790257 offset: 0.001317739 
2022-07-11 15:29:15.735088337 offset: 0.001331091 
